,name,PLD,LCD,ASA,Density,VF,site,ratio,T,DC
225,13161N2,17.84961,18.82862,1771.96,0.421138,0.8194,0.0,0.0,111,5.182045981250001
226,13161N2,17.84961,18.82862,1771.96,0.421138,0.8194,0.0,0.0,231,2.1906346876785716
227,13161N2,17.84961,18.82862,1771.96,0.421138,0.8194,0.0,0.0,296,1.5061915423214287
228,13170N2,21.44482,22.12427,1059.56,0.596881,0.7212,0.0,0.0,111,2.9256046994642864
229,13170N2,21.44482,22.12427,1059.56,0.596881,0.7212,0.0,0.0,231,1.1549423193750001
230,13170N2,21.44482,22.12427,1059.56,0.596881,0.7212,0.0,0.0,296,0.8219455275892857
231,13180N3,4.04298,5.26001,1266.76,1.03682,0.5036,0.0,0.0,111,0.5806384535714287
232,13180N3,4.04298,5.26001,1266.76,1.03682,0.5036,0.0,0.0,231,0.7544761663392858
233,13180N3,4.04298,5.26001,1266.76,1.03682,0.5036,0.0,0.0,296,0.4811925573214286
234,13181N3,4.43705,5.7244,1312.31,0.938079,0.5444,0.0,0.0,111,0.7362345008928571
235,13181N3,4.43705,5.7244,1312.31,0.938079,0.5444,0.0,0.0,231,0.7766723511607143
236,13181N3,4.43705,5.7244,1312.31,0.938079,0.5444,0.0,0.0,296,0.4860530621428572
237,13182N3,4.96192,5.82992,1100.38,1.05784,0.4806,0.0,0.0,111,0.5113041741071429
238,13182N3,4.96192,5.82992,1100.38,1.05784,0.4806,0.0,0.0,231,0.5584579989285715
239,13182N3,4.96192,5.82992,1100.38,1.05784,0.4806,0.0,0.0,296,0.34024360160714284
240,13190N2,11.0019,11.69991,882.118,0.884416,0.5356,0.0,0.0,111,1.1375913686607144
241,13190N2,11.0019,11.69991,882.118,0.884416,0.5356,0.0,0.0,231,0.4396851008928572
242,13190N2,11.0019,11.69991,882.118,0.884416,0.5356,0.0,0.0,296,0.2985583215178572
243,13191N2,20.41147,20.8581,1100.83,0.576409,0.6944,0.0,0.0,111,2.686835945089286
244,13191N2,20.41147,20.8581,1100.83,0.576409,0.6944,0.0,0.0,231,1.0257824102678572
245,13191N2,20.41147,20.8581,1100.83,0.576409,0.6944,0.0,0.0,296,0.7268908869642857
246,14000N2,7.9273,8.39122,1451.66,0.794481,0.5912,0.0,0.0,111,1.9310879588392857
247,14000N2,7.9273,8.39122,1451.66,0.794481,0.5912,0.0,0.0,231,0.825871590625
248,14000N2,7.9273,8.39122,1451.66,0.794481,0.5912,0.0,0.0,296,0.5393764405357143
249,14010N2,13.59415,14.00374,1293.82,0.703963,0.6544,0.0,0.0,111,2.487926159732143
250,14010N2,13.59415,14.00374,1293.82,0.703963,0.6544,0.0,0.0,231,1.0087267766071428
251,14010N2,13.59415,14.00374,1293.82,0.703963,0.6544,0.0,0.0,296,0.6866634991964286
252,14020N2,25.23134,25.72078,1282.22,0.4703,0.7596,0.0,0.0,111,3.628343172767857
253,14020N2,25.23134,25.72078,1282.22,0.4703,0.7596,0.0,0.0,231,1.3914746925892858
254,14020N2,25.23134,25.72078,1282.22,0.4703,0.7596,0.0,0.0,296,0.9722810730357143
255,14030N2,34.32777,34.64499,822.726,0.413797,0.7966,0.0,0.0,111,4.300706358035715
256,14030N2,34.32777,34.64499,822.726,0.413797,0.7966,0.0,0.0,231,1.7683471258035715
257,14030N2,34.32777,34.64499,822.726,0.413797,0.7966,0.0,0.0,296,1.2950644405357143
258,14040N2,27.14497,27.51614,985.729,0.4341,0.7788,0.0,0.0,111,4.108937171071429
259,14040N2,27.14497,27.51614,985.729,0.4341,0.7788,0.0,0.0,231,1.6102476079464287
260,14040N2,27.14497,27.51614,985.729,0.4341,0.7788,0.0,0.0,296,1.1662733759821429
261,14050N3,8.08037,12.26567,2217.56,0.393492,0.7896,0.0,0.0,111,6.252952676785715
262,14050N3,8.08037,12.26567,2217.56,0.393492,0.7896,0.0,0.0,231,2.3251308741964287
263,14050N3,8.08037,12.26567,2217.56,0.393492,0.7896,0.0,0.0,296,1.5793894699107145
264,14051N3,7.39036,12.97507,2104.01,0.489087,0.7734,0.0,0.0,111,5.119884957142857
265,14051N3,7.39036,12.97507,2104.01,0.489087,0.7734,0.0,0.0,231,2.0732339042857144
266,14051N3,7.39036,12.97507,2104.01,0.489087,0.7734,0.0,0.0,296,1.3851569730357145
267,14060N2,17.13909,17.55621,1277.2,0.566808,0.7238,0.0,0.0,111,3.2840511437499997
268,14060N2,17.13909,17.55621,1277.2,0.566808,0.7238,0.0,0.0,231,1.2775916736607142
269,14060N2,17.13909,17.55621,1277.2,0.566808,0.7238,0.0,0.0,296,0.8871101355357143
270,14070N2,23.03694,23.45999,1121.61,0.466224,0.768,0.0,0.0,111,4.0692418946428575
271,14070N2,23.03694,23.45999,1121.61,0.466224,0.768,0.0,0.0,231,1.5416072493750002
272,14070N2,23.03694,23.45999,1121.61,0.466224,0.768,0.0,0.0,296,1.1000981690178573
273,14071N2,20.75151,21.06284,1145.62,0.51383,0.7428,0.0,0.0,111,3.643552143482143
