Number,Name,PLD,LCD,VSA,Density,VF,H,C,N,O,Metal,Metal_count,Number_group
22,11000N2,16.8085,17.20303,1551.9,0.560101,0.7218,108.0,108.0,24.0,24.0,0,0,0
23,11001N2,5.07551,6.13588,2260.02,0.666972,0.6564,108.0,108.0,24.0,24.0,0,0,0
24,11002N2,32.26851,32.49748,944.279,0.347833,0.8206,156.0,180.0,24.0,24.0,0,0,12
25,11003N2,13.35279,13.67413,2233.93,0.439138,0.7708,156.0,180.0,24.0,24.0,0,0,12
26,11010N2,12.18247,12.55788,1199.01,0.904977,0.625,96.0,352.0,96.0,64.0,3,8,0
27,11020N2,15.60159,15.98839,1338.23,0.572273,0.7104,48.0,72.0,12.0,0.0,0,0,6
28,11030N2,18.68643,20.45694,1524.89,0.361779,0.8126,76.0,120.0,16.0,0.0,0,0,12
29,11031N2,26.65939,26.99882,1308.15,0.281663,0.8582,152.0,288.0,16.0,32.0,0,0,16
30,11040N2,41.13741,41.2682,792.445,0.336774,0.8394,72.0,168.0,0.0,24.0,0,0,12
31,12000N2,15.82205,16.14031,1205.66,0.705665,0.6664,48.0,72.0,12.0,12.0,0,0,6
32,12001N2,13.37953,13.76832,1281.55,0.779579,0.607,72.0,84.0,12.0,12.0,0,0,0
